concept_name,concept_synonym
"calcium chloride dihydrate 0.44g(A액600ml중), glucose monohydrate(as glucose 134.68g) 148.15g(B액1036ml중), glycine 6.6g(A액600ml중), L-alanine 8.4g(A액600ml중), L-arginine 7.2g(A액600ml중), L-histidine 1.8g(A액600ml중), L-isoleucine 3g(A","Calcium chloride dihydrate 0.44g (in 600ml of solution A), glucose monohydrate (134.68g as glucose) 148.15g (in 1036ml of solution B), glycine 6.6g (in 600ml of solution A), L-alanine 8.4g (in 600ml of solution A) , L-arginine 7.2g (in 600ml of solution A), L-histidine 1.8g (in 600ml of solution A), L-isoleucine 3g (in A)"
"calcium chloride dihydrate 0.5145g(A액 1000mL중), dextrose monohydrate (as dextrose 30g)(A액 1000mL중), magnesium chloride hexahydrate 0.2033g(A액 1000mL중), sodium bicarbonate 5.88g(B액 1000mL중), sodium chloride 11.57g(A액 1000mL중)","calcium chloride dihydrate 0.5145g (in 1000mL of solution A), dextrose monohydrate (as dextrose 30g) (in 1000mL of solution A), magnesium chloride hexahydrate 0.2033g (in 1000mL of solution A), sodium bicarbonate 5.88g (in 1000mL of solution B), sodium chloride 11.57g (in 1000mL of solution A)"
"glucose monohydrate(as glucose 180g)(A액 500mL중), sodium dihydrogen phosphate dihydrate 3.12g(A액 500mL중), zinc acetate dihydrate 8.78mg(A액 500mL중), medium-chain triglycerides 25g(B액 250mL중), purified soybean oil 20g(B액 250mL중)","Glucose monohydrate (as glucose 180g) (in 500mL of solution A), sodium dihydrogen phosphate dihydrate 3.12g (in 500mL of solution A), zinc acetate dihydrate 8.78mg (in 500mL of solution A), medium-chain triglycerides 25g (in 250mL of solution B) , purified soybean oil 20g (in 250mL of solution B)"
"calcium chloride(2백) 0.3657g(A용액 1ℓ중), dextrose monohydrate(2백) 33g(A용액 1ℓ중), magnesium chloride 6H2O(2백) 0.2033g(A용액 1ℓ중), sodium bicarbonate(2백) 0.42g(B용액 1ℓ중), sodium chloride(2백) 11.279g(A용액 1ℓ","calcium chloride (2 bags) 0.3657g (in 1 liter of solution A), dextrose monohydrate (2 bags) 33g (in 1 liter of solution A), magnesium chloride 6H2O (2 bags) 0.2033g (in 1 liter of solution A), sodium bicarbonate (2 bags) ) 0.42g (in 1 liter of solution B), sodium chloride (2 bags) 11.279 g (in 1 liter of solution A)"
heparin sodium 25000단위,heparin sodium 25000 units
"calcium chloride dihydrate 0.555g(A액750ml중), glucose monohydrate(as glucose 187.32g) 206.052g(B액446ml중), glycine 8.25g(A액750ml중), L-alanine 10.5g(A액750ml중), L-arginine 9g(A액750ml중), L-histidine 2.25g(A액750ml중), L-isoleucine","Calcium chloride dihydrate 0.555g (in 750ml of solution A), glucose monohydrate (as glucose 187.32g) 206.052g (in 446ml of solution B), glycine 8.25g (in 750ml of solution A), L-alanine 10.5g (in 750ml of solution A) , L-arginine 9g (in 750ml of solution A), L-histidine 2.25g (in 750ml of solution A), L-isoleucine"
혈청칼슘 정량검사 시약,Serum calcium quantitative test reagent
혈청중 총단백 정량 검사,Quantitative test for total protein in serum
"calcium chloride dihydrate 0.17g(A액228ml중), glucose monohydrate(as glucose 51.22g) 56.34g(B액394ml중), glycine 2.51g(A액228ml중), L-alanine 3.19g(A액228ml중), L-arginine 2.736g(A액228ml중), L-histidine 0.684g(A액228ml중), L-isoleucine 1","Calcium chloride dihydrate 0.17g (in 228ml of solution A), glucose monohydrate (51.22g as glucose) 56.34g (in 394ml of solution B), glycine 2.51g (in 228ml of solution A), L-alanine 3.19g (in 228ml of solution A) , L-arginine 2.736g (in 228ml of solution A), L-histidine 0.684g (in 228ml of solution A), L-isoleucine 1"
세포진 염색용 시약,Reagents for cytology staining
fentanyl citrate (as fentanyl 0.8mg(0.1mg/회)),fentanyl citrate (as fentanyl 0.8mg (0.1mg/time))
"aminoacetic acid 5350mg(A액500ml중), calcium chloride dihydrate 414mg(B액500ml중), dextrose 250g(B액500ml중), L-alanine 3100mg(A액500ml중), L-arginine 3950mg(A액500ml중), L-asparaginic acid 1900mg(A액500ml중), L-g","aminoacetic acid 5350mg (in 500ml of solution A), calcium chloride dihydrate 414mg (in 500ml of solution B), dextrose 250g (in 500ml of solution B), L-alanine 3100mg (in 500ml of solution A), L-arginine 3950mg (in 500ml of solution A) ), L-asparaginic acid 1900mg (in 500ml solution A), L-g"
"calcium chloride dihydrate 0.5145g(A액 1000mL중), dextrose monohydrate (as dextrose 85g)(A액 1000mL중), magnesium chloride hexahydrate 0.2033g(A액 1000mL중), sodium bicarbonate 5.88g(B액 1000mL중), sodium chloride 11.57g(A액 1000mL중)","calcium chloride dihydrate 0.5145g (in 1000mL of solution A), dextrose monohydrate (85g as dextrose) (in 1000mL of solution A), magnesium chloride hexahydrate 0.2033g (in 1000mL of solution A), sodium bicarbonate 5.88g (in 1000mL of solution B), sodium chloride 11.57g (in 1000mL of solution A)"
"fluticasone propionate 15mg(0.125mg/회), formoterol fumarate dihydrate 0.6mg(5μg/회)","fluticasone propionate 15mg (0.125mg/time), formoterol fumarate dihydrate 0.6mg (5μg/time)"
"요중 포도당,단백질,잠혈 동시 검사용시험지","Test strip for simultaneous testing of urinary glucose, protein, and occult blood"
혈청중 지오티활성검사용,For GOT activity test in serum
tramadol HCl 100mg(1회/1일),tramadol HCl 100mg (once/day)
"요단백,포도당,우로빌리노겐 동시 검사용 시험지","Test strip for simultaneous testing of urine protein, glucose, and urobilinogen"
micronized aclidinium bromide 24mg (400㎍/회),micronized aclidinium bromide 24mg (400㎍/time)
"calcium formate 50mg(5mg/mL)(B액중), rubidium iodide 80mg(8mg/mL)(B액중), sodium ascorbate 22.5mg(2.25mg/mL)(A액중), sodium iodide 0.12g(12mg/mL)(B액중), thiamine hydrochloride 25mg(2.5mg/mL)(A액중)","calcium formate 50mg (5mg/mL) (in solution B), rubidium iodide 80mg (8mg/mL) (in solution B), sodium ascorbate 22.5mg (2.25mg/mL) (in solution A), sodium iodide 0.12g (12mg/mL) (in solution B), thiamine hydrochloride 25mg (2.5mg/mL) (in solution A)"
B형간염 바이러스 표면항원 진단의 확인 검사,Confirmatory test for hepatitis B virus surface antigen diagnosis
"ceftriaxone sodium(바이알) 2g, sodium chloride(0.9%) 900mg/100ml","ceftriaxone sodium (vial) 2g, sodium chloride (0.9%) 900mg/100ml"
혈청중 무기인 정량검사용,For quantitative testing of inorganic substances in serum
"calcium chloride(2백) 0.385875g(A용액 0.75ℓ중), dextrose monohydrate(2백) 37.5g(A용액 0.75ℓ중), magnesium chloride(2백) 0.152475g(A용액 0.75ℓ중), sodium bicarbonate(2백) 0.315g(B용액 0.75ℓ중), sodium chloride(2백) 8.4592","calcium chloride (2 bags) 0.385875g (in 0.75 liters of solution A), dextrose monohydrate (2 bags) 37.5g (in 0.75 liters of solution A), magnesium chloride (2 bags) 0.152475g (in 0.75 liters of solution A), sodium bicarbonate (2 bags) 0.315g (in 0.75 liters of solution B), sodium chloride (2 bags) 8.4592"
mometasone furoate 3mg(50μg/회),mometasone furoate 3mg (50μg/time)
혈액도말표본염색용,For staining blood smears
"요중포도당,단백질,우로빌리노겐 동시 검사용시험지","Test strip for simultaneous testing of urinary glucose, protein, and urobilinogen"
fentanyl citrate (as fentanyl 2mg(0.1mg/회)),fentanyl citrate (as fentanyl 2mg (0.1mg/time))
숙지황·목단피·오미자·천문동·황금·행인·백부근연조엑스(1.4∼1.7→1)·옥수수전분 혼합건조물(4.8:1) 0.3g,"Rehmannia glutinosa, Schisandra chinensis, Schisandra chinensis, Cheonmundong, Hwanggeum, Hangin, Baekbu root extract (1.4∼1.7→1), corn starch mixed dried product (4.8:1) 0.3g"
"bacillus subtilis·streptococcus faecium(streptococcus faecium 4.5억마리,bacillus subtilis 0.5억마리) 125mg","bacillus subtilis·streptococcus faecium (streptococcus faecium 450 million, bacillus subtilis 050 million) 125mg"
human immunoglobulin-G(폴리에칠렌글리콜처리) 2.5g,human immunoglobulin-G (polyethylene glycol treated) 2.5g
tisagenlecleucel 1.2×10^6~6×10^8개,tisagenlecleucel 1.2×10^6~6×10^8
insulin aspart(insulin aspart protamine/insulin aspart 50%/50%) 300단위,insulin aspart (insulin aspart protamine/insulin aspart 50%/50%) 300 units
"요증,포도당,단백질, 동시검사용 시험지","Test strip for urinalysis, glucose, protein, simultaneous test"
혈청중의 마그네슘 성분정량 검사용,For quantitative testing of magnesium content in serum
autologus adipose-derived mesenchymal stem cell 3×10^7개/ml,autologus adipose-derived mesenchymal stem cell 3×10^7/ml
"cefpiramide sodium(바이알) 1g, sodium chloride(0.9%) 900mg/100ml","cefpiramide sodium (vial) 1g, sodium chloride (0.9%) 900mg/100ml"
"estradiol valerate 2mg/1정(A정11정중), estradiol valerate 2mg/1정(B정10정중), norgestrel each 500㎍/1정(B정10정중)","estradiol valerate 2mg/1 tablet (out of 11 tablets A), estradiol valerate 2mg/1 tablet (out of 10 tablets B), norgestrel each 500㎍/1 tablet (out of 10 tablets B)"
reviparin sodium(anti factor Xa로서 2863IU) 27.12mg,reviparin sodium (2863IU as anti factor Xa) 27.12mg
"teprenone 37.5mg, 후박건조엑스 27.8mg, 창출건조엑스 50mg","teprenone 37.5mg, dried fruit extract 27.8mg, dried fruit extract 50mg"
"calcium chloride dihydrate 0.17g(A액228ml중), glucose monohydrate (as glucose 51.22g)(B액394ml중), glycine 2.51g(A액228ml중), L-alanine 3.19g(A액228ml중), L-arginine 2.736g(A액228ml중), L-histidine 0.684g(A액228ml중), L-isoleucine","calcium chloride dihydrate 0.17g (in 228ml of solution A), glucose monohydrate (51.22g as glucose) (in 394ml of solution B), glycine 2.51g (in 228ml of solution A), L-alanine 3.19g (in 228ml of solution A), L -arginine 2.736g (in 228ml of solution A), L-histidine 0.684g (in 228ml of solution A), L-isoleucine"
"calcium chloride dihydrate 0.253g(B액342ml중), glucose monohydrate(as glucose 76.7g) 84.4g(A액590ml중), glycine 3.523g(B액342ml중), L-alanine 7.079g(B액342ml중), L-arginine 3.933g(B액342ml중), L-histidine 1.642g(B액342ml중), L-isoleucine","Calcium chloride dihydrate 0.253g (in 342ml of solution B), glucose monohydrate (76.7g as glucose) 84.4g (in 590ml of solution A), glycine 3.523g (in 342ml of solution B), L-alanine 7.079g (in 342ml of solution B) , L-arginine 3.933g (in 342ml of solution B), L-histidine 1.642g (in 342ml of solution B), L-isoleucine"
혈청중 치몰혼탁 정량검사,Quantitative test for thin turbidity in serum
"calcium chloride(2백) 0.3657g(A용액 1ℓ중), dextrose monohydrate(2백) 93.5g(A용액 1ℓ중), magnesium chloride 6H2O(2백) 0.2033g(A용액 1ℓ중), sodium bicarbonate(2백) 0.42g(B용액 1ℓ중), sodium chloride(2백) 11.279g(A용액 1","calcium chloride (2 bags) 0.3657g (in 1 liter of solution A), dextrose monohydrate (2 bags) 93.5g (in 1 liter of solution A), magnesium chloride 6H2O (2 bags) 0.2033g (in 1 liter of solution A), sodium bicarbonate (2 bags) bag) 0.42g (in 1 liter of solution B), sodium chloride (2 bags) 11.279g (1 liter of solution A)"
혈청중 지오티 활성 정량 검사,Quantitative test for GOT activity in serum
"fluticasone propionate 6mg(50μg/회), salmeterol xinafoate (as salmeterol 3mg(25μg/회))","fluticasone propionate 6mg (50μg/time), salmeterol xinafoate (as salmeterol 3mg (25μg/time))"
dexamethasone cipecilate 14mg (200μg/회),dexamethasone pipecilate 14mg (200μg/time)
사람 혈장 및 혈청중의 삼일열 말라리아 항체 검사,Malaria antibody test in human plasma and serum
fentanyl citrate (as fentanyl 0.5mg(50μg/회)),fentanyl citrate (as fentanyl 0.5mg (50μg/time))
혈청중 중성지방 정량,Quantification of neutral fat in serum
"tenecteplase 40mg(8,000단위)","tenecteplase 40 mg (8,000 units)"
"calcium chloride dihydrate 0.925g(A액1250ml중), glucose monohydrate(as glucose 312.48g) 343.728g (B액744ml중), glycine 13.75g(A액1250ml중), L-alanine 17.5g(A액1250ml중), L-arginine 15g(A액1250ml중), L-histidine 3.75g(A액1250ml중), L-iso","calcium chloride dihydrate 0.925g (in 1250ml of solution A), glucose monohydrate (312.48g as glucose) 343.728g (in 744ml of solution B), glycine 13.75g (in 1250ml of solution A), L-alanine 17.5g (in 1250ml of solution A) , L-arginine 15g (in 1250ml of solution A), L-histidine 3.75g (in 1250ml of solution A), L-iso"
human immunoglobulin G(폴리에칠렌글리콜처리) 0.5g(50mg/mL),human immunoglobulin G (polyethylene glycol treated) 0.5g (50mg/mL)
"위령선, 괄루근, 하고초엑스 200mg","Gastrointestinal gland, splenothorial muscle, hagocho extract 200mg"
혈청중 지피티 활성 정량 검사,Quantitative test for GPT activity in serum
혈청중 염화물 정량검사,Quantitative test for chloride in serum
혈청등의 알부민성분 정량검사용 시약,"Reagent for quantitative testing of albumin components in serum, etc."
human immunoglobulin G(폴리에칠렌글리콜처리) 5g(50mg/mL),human immunoglobulin G (polyethylene glycol treated) 5g (50mg/mL)
사람유래피부각질세포 : 6 x 10(6) cells /16㎠,Human-derived skin keratinocytes: 6 x 10(6) cells /16㎠
"calcium chloride 0.9923g/1ℓ(A분획), dextrose anhydrate 4.5g/1ℓ(A분획), magnesium chloride hexahtdrate 0.4574g/1ℓ(A분획), sodium chloride 6.764g/1ℓ(A분획), sodium chloride 20.454g/3.5ℓ(B분획), sodium bicarbonate 13.797g/3.5","calcium chloride 0.9923g/1ℓ (fraction A), dextrose anhydrate 4.5g/1ℓ (fraction A), magnesium chloride hexahtrate 0.4574g/1ℓ (fraction A), sodium chloride 6.764g/1ℓ (fraction A), sodium chloride 20.454g/ 3.5ℓ (B fraction), sodium bicarbonate 13.797g/3.5"
"estradiol valerate 2mg/1정(A정16정중), estradiol valerate 2mg/1정(B정 12정중), levonorgestrel 75㎍/1정(B정 12정중)","estradiol valerate 2mg/1 tablet (out of 16 tablets A), estradiol valerate 2mg/1 tablet (out of 12 tablets B), levonorgestrel 75㎍/1 tablet (out of 12 tablets B)"
"olodaterol hydrochloride (as olodaterol 0.15mg (2.5μg/회)), tiotropium bromide monohydrate (as tiotropium 0.15mg (2.5μg/회))","olodaterol hydrochloride (as olodaterol 0.15mg (2.5μg/time)), tiotropium bromide monohydrate (as tiotropium 0.15mg (2.5μg/time))"
dienogest 2mg/정,dienogest 2mg/tablet
pegvisomant 30mg(30mg/병),pegvisomant 30mg (30mg/bottle)
"allergen extracts(알러젠추출물:시험군) 300단위(IR 또는 IC), histamine HCl(양성대조군) 30mg","allergen extracts (test group) 300 units (IR or IC), histamine HCl (positive control group) 30 mg"
혈청중 아밀라제 활성 정량,Quantification of amylase activity in serum
"요단백질, 포도당, PH, 잠혈 동시검사용 시험지","Test strip for simultaneous testing of urine protein, glucose, PH, and occult blood"
혈장 및 혈청중의 매독균 항체검사,Syphilis antibody test in plasma and serum
"dydrogesterone 10mg/정(A정 14정중), estradiol hemihydrate (as estradiol 1mg/정)(A정 14정중), estrodiol hemihydrate (as estradiol 1mg/정)(B정 14정중)","dydrogesterone 10mg/tablet (out of 14 tablets A), estradiol hemihydrate (as estradiol 1mg/tablet)(out of 14 tablets A), estrodiol hemihydrate (as estradiol 1mg/tablet)(out of 14 tablets B)"
"estrogen(conjugated) 0.625mg/1정, medroxyprogesteron acetate 5mg/1정","estrogen(conjugated) 0.625mg/1 tablet, medroxyprogesteron acetate 5mg/1 tablet"
혈청이나 혈장 중 1.5-anhydro-D-glucitol(AG)측정(당뇨검사),Measurement of 1.5-anhydro-D-glucitol (AG) in serum or plasma (diabetes test)
혈청이나 혈장중 글루코스 측정용,For measuring glucose in serum or plasma
신바로건조엑스(20→1) 300mg,Shinbaro dried extract (20→1) 300mg
autologus adipose-derived mesenchymal stem cell 3×10^7개(3×10^7개/mL),3×10^7 autologus adipose-derived mesenchymal stem cells (3×10^7/mL)
혈청중의 알카리성인산효소 정량검사 시약,Quantitative test reagent for alkaline phosphatase in serum
fentanyl citrate (as fentanyl 2mg(50μg/회)),fentanyl citrate (as fentanyl 2mg (50μg/time))
혈청중 크레아티닌 정량 검사,Serum creatinine quantitative test
benzathine penicillin G 120만unit,benzathine penicillin G 1.2 million units
lactobacillus casei var. rhamnosus 0.25g(0.25g(2억개)/g),lactobacillus casei var. rhamnosus 0.25g (0.25g (200 million)/g)
당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.(3.5→1) 0.4054g,"Angelica, tree fruit, windbreak, sokdan, acacia, eucalyptus, wiryeongseon, yukgye, jingyo, cheongung, cheonma, safflower 25% ethanol soft ext.(3.5→1) 0.4054g"
"요중포도당,단백질,PH,우로빌리노겐,잠혈 동시 검사용시험지","Test strip for simultaneous testing of urinary glucose, protein, PH, urobilinogen, and occult blood"
"estradiol valerate 2mg/1정(A정 9개정중), estradiol valerate 2mg/1정(B정 12개정중), medroxyprogesterone acetate 10mg(B정 12개정중), estradiol valerate 1mg/1정(C정 7개정중)","estradiol valerate 2mg/1 tablet (out of 9 tablets A), estradiol valerate 2mg/1 tablet (out of 12 tablets B), medroxyprogesterone acetate 10mg (out of 12 tablets B), estradiol valerate 1mg/1 tablet (out of 7 tablets C) middle)"
혈청중 HDL콜레스테롤 정량,Quantification of HDL cholesterol in serum
"calcium chloride dihydrate 1.28625g(A분획 250mL중), dextrose monohydrate 6.05g(A분획 250mL중), S-lactic acid 1.35g(A분획 250mL중), magnesium chloride hexahydrate 0.50825g(A분획 250mL중), potassium chloride 1.4915g(B분획 4750mL중),","calcium chloride dihydrate 1.28625g (in 250mL of fraction A), dextrose monohydrate 6.05g (in 250mL of fraction A), S-lactic acid 1.35g (in 250mL of fraction A), magnesium chloride hexahydrate 0.50825g (in 250mL of fraction A), potassium chloride 1.4915g (in 4750mL of fraction B),"
aprotinin 10만I.U,"aprotinin 100,000 I.U"
혈청중 요산 정량 검사,Serum uric acid quantitative test
세균의 그람 양성음성 감별용 시약,Reagent for gram-positive-negative discrimination of bacteria
FPSA정량검사,FPSA quantitative test
세포학적 검사물의 염색,Staining of cytological specimens
"aminoacetic aicd 4280mg(A액400ml중), calcium gluconate 1792mg(B액800ml중), dextrose 250.4g(B액800ml중), L-alanine 2480mg(A액400ml중), L-arginine 3160mg(A액400ml중), L-aspartic acid 1520mg(A액400ml중), L-cysteine 400mg(A액400ml","aminoacetic aicd 4280mg (in 400ml of solution A), calcium gluconate 1792mg (in 800ml of solution B), dextrose 250.4g (in 800ml of solution B), L-alanine 2480mg (in 400ml of solution A), L-arginine 3160mg (in 400ml of solution A) ), L-aspartic acid 1520mg (in 400ml of solution A), L-cysteine ​​400mg (in 400ml of solution A)"
"calcium chloride(2백) 0.7717g(A용액 1.5ℓ중), dextrose monohydrate(2백) 75g(A용액 1.5ℓ중), magnesium chloride(2백) 0.3049g(A용액 1.5ℓ중), sodium bicarbonate(2백) 0.63g(B용액 1.5ℓ중), sodium chloride(2백) 16.9185g(A용액","calcium chloride (2 bags) 0.7717g (in 1.5 liters of solution A), dextrose monohydrate (2 bags) 75g (in 1.5 liters of solution A), magnesium chloride (2 bags) 0.3049g (in 1.5 liters of solution A), sodium bicarbonate ( 2 bags) 0.63g (in 1.5 liters of solution B), sodium chloride (2 bags) 16.9185g (solution A)"
"요중의단백,포도당, 잠혈, 아질산염 동시 검사용시험지","Test strip for simultaneous testing of urinary protein, glucose, occult blood, and nitrite"
"calcium chloride dihydrate 0.368g(A용액 725mL중)(2백), dextrose monohydrate 50g(A용액 725mL중)(2백), magnesium chloride hexahydrate 0.102g(A용액 725mL중)(2백), sodium bicarbonate 4.2g(B용액 1275mL중)(2백), sodium chloride 10.75g(","Calcium chloride dihydrate 0.368g (in 725mL of solution A) (2 bags), dextrose monohydrate 50g (in 725mL of solution A) (2 bags), magnesium chloride hexahydrate 0.102g (in 725mL of solution A) (2 bags), sodium bicarbonate 4.2g (in 1275mL of solution B) (2 bags), sodium chloride 10.75g ("
human immunoglobulin(플라스민처리) 1.6g,human immunoglobulin (plasmin treated) 1.6g
"요중단백질,포도당,PH,우로빌리노겐,빌리루빈,케톤체,잠혈아질산염,비중 동시검사용시험지","Test strip for simultaneous examination of urinary protein, glucose, PH, urobilinogen, bilirubin, ketone body, occult blood nitrite, and specific gravity"
tiotropium bromide monohydrate (as tiotropium 0.15mg(2.5μg/회)),tiotropium bromide monohydrate (as tiotropium 0.15mg (2.5μg/time))
혈청중 총빌리루빈 측정,Measurement of total bilirubin in serum
human anti-hepatitis B immunoglobulin 2000단위,human anti-hepatitis B immunoglobulin 2000 units
혈청 에이엘티효소 정량검사,Serum ALT enzyme quantitative test
"calcium chloride(2백) 0.7717g(A용액 1.5ℓ중), dextrose monohydrate(2백) 140.25g(A용액 1.5ℓ중), magnesium chloride(2백) 0.3049g(A용액 1.5ℓ중), sodium bicarbonate(2백) 0.63g(B용액 1.5ℓ중), sodium chloride(2백) 16.9185g(A용","calcium chloride (2 bags) 0.7717g (in 1.5 liters of solution A), dextrose monohydrate (2 bags) 140.25g (in 1.5 liters of solution A), magnesium chloride (2 bags) 0.3049g (in 1.5 liters of solution A), sodium bicarbonate (2 bags) 0.63g (in 1.5 liters of solution B), sodium chloride (2 bags) 16.9185g (for A)"
"calcium chloride 1.1025g(A분획 250mL중), dextrose monohydrate 5.5g(A분획 250mL중), magnesium chloride hexahydrate 0.50825g(A분획 250mL중), potassium chloride 0.7455g(A분획 250mL중), sodium bicarbonate 14.744g(B분획 4750mL중), sodi","Calcium chloride 1.1025g (in 250mL of fraction A), dextrose monohydrate 5.5g (in 250mL of fraction A), magnesium chloride hexahydrate 0.50825g (in 250mL of fraction A), potassium chloride 0.7455g (in 250mL of fraction A), sodium bicarbonate 14.744g (in 250mL of fraction A) (in 4750 mL of fraction B), sodi"
"alanine 4.245g(C액250ml중), arginine 2.365g(C액250ml중), asparaginic acid 1.315g(C액250ml중), calcium chloride dihydrate 0.389375g(C액250ml중), glucose monohydrate(as glucose anhydrate) 90g(A액250ml중), glutamic acid 3.07g(C액250ml","alanine 4.245g (in 250ml C solution), arginine 2.365g (in 250ml C solution), asparaginic acid 1.315g (in 250ml C solution), calcium chloride dihydrate 0.389375g (in 250ml C solution), glucose monohydrate (as glucose anhydrate) 90g (in 250ml of solution A), glutamic acid 3.07g (in 250ml of solution C)"
혈청중 총빌리루빈 정량검사용,For quantitative testing of total bilirubin in serum
"요중단백질, 포도당, PH, 우로빌리노겐, 빌리루빈, 케톤체, 잠혈, 아질산염 동시검사용 시험지","Test strip for simultaneous testing of urinary protein, glucose, PH, urobilinogen, bilirubin, ketone body, occult blood, and nitrite"
"bacillus subtilis·streptococcus faecium(streptococcus faecium 2.25억마리,bacillus subtilis 0.25억마리) 6.25g(62.5mg/g)","bacillus subtilis·streptococcus faecium (streptococcus faecium 225 million, bacillus subtilis 025 million) 6.25g (62.5mg/g)"
혈청중 요소질소 정량검사,Serum urea nitrogen quantitative test
zanamivir(micronized) 0.1g(5mg/포낭),zanamivir (micronized) 0.1g (5mg/cyst)
혈청중 총콜레스테롤 정량검사용,For quantitative testing of serum total cholesterol
CA-19-9의 정량 검사,Quantitative testing of CA-19-9
"acetylcysteine(상실액300ml중) 0.27g, ascorbic acid(소실액4ml중) 50mg, biotin(소실액 4ml중) 30㎍, calcium chloride(하실액696ml중) 0.294g, cholecalciferol(소실액4ml중) 2.5㎍, cyanocobalamin(하실액 696ml중) 2.5㎍, folic","acetylcysteine ​​(in 300ml of lost fluid) 0.27g, ascorbic acid (in 4ml of lost fluid) 50mg, biotin (in 4ml of lost fluid) 30㎍, calcium chloride (in 696ml of lost fluid) 0.294g, cholecalciferol (in 4ml of lost fluid) 2.5㎍, cyanocobalamin (in 696ml of subclinical fluid) 2.5㎍, folic"
reviparin sodium(anti factor Xa로서 1432 IU) 13.56mg,reviparin sodium (1432 IU as anti factor Xa) 13.56mg
"calcium chloride(2백) 385.5mg/1.5ℓ, dextrose(2백) 70.125g/1.5ℓ, magnesium chloride(2백) 153mg/1.5ℓ, sodium chloride(2백) 8.679g/1.5ℓ, sodium lactate solution(2백) 11.7705g/1.5ℓ","calcium chloride (2 bags) 385.5mg/1.5ℓ, dextrose (2 bags) 70.125g/1.5ℓ, magnesium chloride (2 bags) 153mg/1.5ℓ, sodium chloride (2 bags) 8.679g/1.5ℓ, sodium lactate solution ( 2 bags) 11.7705g/1.5ℓ"
carteolol HCl 20mg/회,carteolol HCl 20mg/time
사람유래피부각질세포 3 x 10^6 cells,Human-derived skin keratinocytes 3 x 10^6 cells
beclomethasone dipropionate 12mg(0.1mg/회),beclomethasone dipropionate 12mg (0.1mg/time)
"beclomethasone dipropionate 0.17241g(1.43675mg/회), formoterol fumarate dihydrate 10.34mg(86.16μg/회)","beclomethasone dipropionate 0.17241g (1.43675mg/time), formoterol fumarate dihydrate 10.34mg (86.16μg/time)"
"calcium chloride(2백) 643.25mg/2.5ℓ, dextrose(2백) 116.875g/2.5ℓ, magnesium chloride(2백) 254.25mg/2.5ℓ, sodium lactate2백) 19.625g/2.5ℓ, sodium chloride(2백) 14.465g/2.5ℓ","calcium chloride (2 bags) 643.25mg/2.5ℓ, dextrose (2 bags) 116.875g/2.5ℓ, magnesium chloride (2 bags) 254.25mg/2.5ℓ, sodium lactate (2 bags) 19.625g/2.5ℓ, sodium chloride (2 bags) ) 14.465g/2.5ℓ"
"calcium chloride dihydrate(2백) 0.92g(A용액 3750ml중), dextrose monohydrate(2백) 75g(A용액 3750ml중), magnesium chloride hexahydrate(2백) 0.255g(A용액 3750ml중), sodium bicarbonate(2백) 11.61g(B용액 1250ml중), sodium chloride(2백)","calcium chloride dihydrate (2 bags) 0.92g (in 3750ml of solution A), dextrose monohydrate (2 bags) 75g (in 3750ml of solution A), magnesium chloride hexahydrate (2 bags) 0.255g (in 3750ml of solution A), sodium bicarbonate (2 bags) bag) 11.61g (in 1250ml of solution B), sodium chloride (2 bags)"
"calcium chloride dihydrate(2백) 0.368g(A용액 725ml중), dextrose monohydrate(2백) 50g(A용액 725ml중), magnesium chloride hexahydrate(2백) 0.102g(A용액 725ml중), sodium bicarbonate(2백) 4.2g(B용액 1,275ml중), sodium chloride(2백)","calcium chloride dihydrate (2 bags) 0.368g (in 725ml of solution A), dextrose monohydrate (2 bags) 50g (in 725ml of solution A), magnesium chloride hexahydrate (2 bags) 0.102g (in 725ml of solution A), sodium bicarbonate (2 bags) bag) 4.2g (in 1,275ml of solution B), sodium chloride (2 bags)"
ketoprofen(f.) (서방형) 41.14mg,ketoprofen(f.) (extended release) 41.14mg
각종암의 스크리닝 진단,Screening and diagnosis of various cancers
B형간염바이러스표면항원검사,Hepatitis B virus surface antigen test
혈청중 마그네슘 정량검사,Quantitative test for magnesium in serum
"aminoacetic acid 7g(A액500mL중), calcium chloride 0.41375g(B액500mL중), dextrose 250g(B액500mL중), L-alanine 3.55g(A액500mL중), L-arginine 4.75g(A액500mL중), L-cysteine hydrochloride 0.12g(A액500mL중), L-histidine 1.4g(A액500mL","7g of aminoacetic acid (in 500mL of solution A), 0.41375g of calcium chloride (in 500mL of solution B), 250g of dextrose (in 500mL of solution B), 3.55g of L-alanine (in 500mL of solution A), 4.75g of L-arginine (in 500mL of solution A) in 500 mL), L-cysteine ​​hydrochloride 0.12 g (in 500 mL of solution A), 1.4 g of L-histidine (in 500 mL of solution A)"
